shift_tipe;nik;kdregu;kodejamkerja;inputdate;inputby;updatedate;updateby;id;tgl
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;286;2017-07-31
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;287;2017-08-01
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;288;2017-08-02
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;289;2017-08-03
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;290;2017-08-04
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;291;2017-08-05
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;292;2017-08-07
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;293;2017-08-08
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;294;2017-08-09
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;295;2017-08-10
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;296;2017-08-11
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;297;2017-08-12
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;298;2017-08-14
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;299;2017-08-15
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;300;2017-08-16
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;301;2017-08-17
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;302;2017-08-18
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;303;2017-08-19
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;304;2017-08-21
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;305;2017-08-22
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;306;2017-08-23
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;307;2017-08-24
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;308;2017-08-25
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;309;2017-08-26
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;310;2017-08-28
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;311;2017-08-29
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;312;2017-08-30
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;313;2017-08-31
;;NS          ;NSB                      ;2017-09-09 00:00:00;0217.245       ;;;314;2017-09-01
;;NS          ;NSC                      ;2017-09-09 00:00:00;0217.245       ;;;315;2017-09-02
;;NS          ;NSA                      ;2017-09-09 00:00:00;0217.245       ;;;316;2017-09-04
;;NS          ;NSA                      ;2017-09-09 00:00:00;0217.245       ;;;317;2017-09-05
;;NS          ;NSA                      ;2017-09-09 00:00:00;0217.245       ;;;318;2017-09-06
;;NS          ;NSA                      ;2017-09-09 00:00:00;0217.245       ;;;319;2017-09-07
;;NS          ;NSB                      ;2017-09-09 00:00:00;0217.245       ;;;320;2017-09-08
;;NS          ;NSC                      ;2017-09-09 00:00:00;0217.245       ;;;321;2017-09-09
;;NS          ;NSA                      ;2017-09-09 00:00:00;0217.245       ;;;322;2017-09-11
;;NS          ;NSA                      ;2017-09-09 00:00:00;0217.245       ;;;323;2017-09-12
